PLAYER,RND,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMAX,K,D,A,FK,FD,
kelevra,383,173.7,0.85,0.68,116.6,0.59,0.27,0.05,0.06,0.24,0.12,20,227,266,105,19,23,
Boo,293,173.6,0.88,0.69,119.7,0.62,0.32,0.03,0.09,0.26,0.09,25,182,208,93,10,25,
Rebo,1136,173.5,0.82,0.68,110.8,0.59,0.32,0.07,0.09,0.22,0.11,27,667,811,358,76,97,
Carlee,250,173.3,0.85,0.63,106.7,0.62,0.24,0.08,0.1,0.29,0.17,24,154,182,60,19,25,
nmutuA,952,173.3,0.89,0.71,113.9,0.61,0.33,0.04,0.06,0.31,0.12,23,578,653,314,36,60,
AslaN,254,173.2,0.86,0.64,113.5,0.59,0.27,0.06,0.08,0.3,0.18,21,151,176,69,15,21,
HyP,325,173.2,0.92,0.74,112.8,0.58,0.41,0.04,0.05,0.21,0.11,25,189,206,132,14,17,
artn,938,173.2,0.93,0.74,107,0.61,0.4,0.05,0.09,0.16,0.22,23,570,613,379,50,84,
Flippsy,219,173.1,0.77,0.63,114.8,0.61,0.21,0.09,0.13,0.23,0.07,17,133,172,45,20,28,
forgetw0w,285,173.1,0.91,0.7,116.2,0.61,0.21,0.05,0.08,0.23,0.14,18,174,191,60,15,22,
distorted,374,173,0.83,0.63,117.7,0.61,0.22,0.06,0.11,0.26,0.2,24,228,275,82,23,40,
Kuaresma,721,172.8,0.86,0.67,112.5,0.61,0.28,0.05,0.06,0.23,0.15,21,439,510,203,34,45,
ableJ,243,172.8,0.93,0.72,121.2,0.62,0.31,0.05,0.05,0.25,0.24,21,151,163,75,11,13,
fznnn,488,172.8,0.9,0.73,114.8,0.6,0.28,0.06,0.05,0.23,0.26,25,291,323,139,29,24,
BeasT,459,172.7,0.77,0.62,119.8,0.59,0.19,0.07,0.12,0.26,0.14,19,273,356,86,33,53,
covinhas,247,172.7,0.74,0.7,115.4,0.56,0.32,0.07,0.1,0.18,0.14,18,138,186,79,17,24,
Overflow,244,172.7,0.76,0.69,112.4,0.58,0.22,0.07,0.07,0.27,0.07,19,142,187,53,17,17,
Zero1,392,172.6,0.81,0.69,119.4,0.6,0.34,0.06,0.07,0.3,0.17,20,234,290,132,23,26,
jtxue,261,172.6,0.79,0.66,115.7,0.62,0.25,0.07,0.13,0.24,0.03,23,162,206,64,17,33,
Magowi,282,172.6,0.79,0.66,111.7,0.6,0.26,0.08,0.05,0.19,0.17,22,168,213,74,23,14,
Maddie,203,172.5,0.81,0.72,109.7,0.61,0.33,0.07,0.09,0.28,0.22,20,123,151,68,14,18,
Cyn,335,172.5,0.86,0.71,112.4,0.6,0.32,0.07,0.06,0.29,0.3,22,201,235,107,24,21,
tsack,242,172.5,0.82,0.71,116.5,0.58,0.34,0.05,0.06,0.29,0.1,23,141,172,82,13,15,
JSUNG,986,172.4,0.89,0.73,116.2,0.6,0.33,0.06,0.05,0.35,0.12,20,592,668,321,56,53,
rin,286,172.4,0.88,0.74,113.8,0.63,0.32,0.06,0.08,0.19,0.19,28,180,204,92,16,22,
Whimp,468,172.2,0.81,0.71,112.4,0.59,0.3,0.05,0.08,0.3,0.04,18,277,341,142,25,38,
kasper,511,172.1,0.85,0.68,111.7,0.6,0.32,0.08,0.08,0.29,0.12,19,309,362,163,39,42,
Floatqq,412,172.1,0.84,0.67,114.7,0.61,0.22,0.06,0.08,0.19,0.07,22,253,301,92,25,35,
AC,455,172,0.85,0.71,110.8,0.62,0.33,0.05,0.09,0.31,0.15,18,284,336,152,22,42,
fuzari,211,172,0.89,0.66,108.7,0.63,0.16,0.03,0.09,0.24,0.13,31,132,149,33,7,19,
deigara,208,171.8,0.76,0.63,112.9,0.58,0.21,0.08,0.09,0.3,0.2,18,120,157,43,17,19,
vong,264,171.8,0.82,0.67,114.7,0.6,0.28,0.08,0.09,0.26,0.16,26,158,193,75,21,24,
ANGE1,1179,171.7,0.79,0.64,113.9,0.58,0.26,0.11,0.16,0.31,0.16,20,689,875,304,129,188,
Tempt,316,171.6,0.71,0.62,111.1,0.57,0.28,0.08,0.12,0.21,0.12,21,179,251,87,24,38,
PoPiFresH,251,171.5,0.77,0.64,110.8,0.6,0.18,0.1,0.12,0.24,0.2,23,150,194,45,24,29,
Rexy,787,171.3,0.89,0.69,116.3,0.59,0.28,0.06,0.07,0.28,0.12,23,466,526,223,47,56,
iluri,322,171.1,0.81,0.66,116,0.58,0.28,0.05,0.07,0.34,0.11,23,188,233,90,16,23,
gbzw,331,170.9,0.8,0.67,111.4,0.59,0.29,0.09,0.14,0.22,0.1,27,195,245,97,30,47,
